ID;Municipios;Poblacion;Densidad Comercial;Renta Por Hogar
10217;Zarza de Montánchez;530;189; 19’550 € 
10218;Zarza la Mayor;1’190;58.7; 17’000 € 
10219;Zorita;1’320;0; 19’150 € 
10901;Rosalejo;1’380;173.5; 22’700 € 
10902;Vegaviana;850;94.7; 17’400 € 
10903;Alagón del Río;930;128.6; 22’250 € 
10904;Tiétar;880;676.5; 23’400 € 
10905;Pueblonuevo de Miramontes;770;0; 20’600 € 
11001;Alcalá de los Gazules;5’250;182.3; 24’000 € 
11002;Alcalá del Valle;5’030;270.9; 21’750 € 
11003;Algar;1’440;55.5; 20’050 € 
11004;Algeciras;122’980;231.7; 29’850 € 
11005;Algodonales;5’530;154; 20’150 € 
11006;Arcos de la Frontera;30’900;400.8; 22’100 € 
11007;Barbate;22’760;371.6; 21’900 € 
11008;Barrios, Los;23’980;1130.1; 32’200 € 
11009;Benaocaz;690;115.1; 20’750 € 
11010;Bornos;7’650;252.4; 20’650 € 
11011;Bosque, El;2’220;146.6; 25’150 € 
11012;Cádiz;114’240;304.5; 32’450 € 
11013;Castellar de la Frontera;3’070;52.1; 26’050 € 
11014;Conil de la Frontera;23’180;591.5; 24’150 € 
11015;Chiclana de la Frontera;86’310;385; 26’200 € 
11016;Chipiona;19’370;294.1; 21’200 € 
11017;Espera;3’850;109.2; 21’550 € 
11018;Gastor, El;1’710;43.9; 19’700 € 
11019;Grazalema;2’030;214.3; 21’250 € 
11020;Jerez de la Frontera;212’800;346.6; 27’150 € 
11021;Jimena de la Frontera;9’490;194; 23’800 € 
11022;Línea de la Concepción, La;63’370;383.9; 24’800 € 
11023;Medina-Sidonia;11’810;217.9; 22’700 € 
11024;Olvera;8’020;382; 23’300 € 
11025;Paterna de Rivera;5’470;212.2; 20’550 € 
11026;Prado del Rey;5’660;206; 20’700 € 
11027;Puerto de Santa María, El;89’070;486.2; 29’750 € 
11028;Puerto Real;41’770;274.8; 29’050 € 
11029;Puerto Serrano;6’950;258.6; 21’250 € 
11030;Rota;29’330;346.6; 27’600 € 
11031;San Fernando;94’870;389.3; 29’650 € 
11032;Sanlúcar de Barrameda;69’510;359; 22’800 € 
11033;San Roque;32’180;313.9; 30’150 € 
11034;Setenil de las Bodegas;2’700;55.6; 21’400 € 
11035;Tarifa;18’470;332.2; 25’950 € 
11036;Torre Alháquime;800;187.5; 18’700 € 
11037;Trebujena;7’040;180.9; 26’700 € 
11038;Ubrique;16’480;206.3; 24’650 € 
11039;Vejer de la Frontera;12’570;179.6; 23’000 € 
11040;Villaluenga del Rosario;460;0; 22’100 € 
11041;Villamartín;12’120;345.5; 23’400 € 
11042;Zahara;1’390;71.9; 22’250 € 
11901;Benalup-Casas Viejas;7’020;235; 22’050 € 
11902;San José del Valle;4’430;141.9; 19’500 € 
12001;Atzeneta del Maestrat;1’290;619.2; 27’900 € 
12002;Aín;130;0; 25’650 € 
12003;Albocàsser;1’250;311.3; 26’800 € 
12004;Alcalà de Xivert;6’690;724.3; 24’300 € 
12005;Alcora, l';10’430;297.9; 31’800 € 
12006;Alcudia de Veo;200;0; 24’100 € 
12007;Alfondeguilla;870;0; 25’400 € 
12008;Algimia de Almonacid;240;0; 19’500 € 
12009;Almazora/Almassora;26’880;311.6; 28’700 € 
12010;Almedíjar;250;0; 25’450 € 
12011;Almenara;6’250;376.9; 28’050 € 
12012;Altura;3’660;407.3; 25’950 € 
12013;Arañuel;150;0; 18’400 € 
12014;Ares del Maestrat;170;0; 26’300 € 
12015;Argelita;150;0; 24’350 € 
12016;Artana;1’970;655.8; 29’850 € 
12017;Ayódar;160;0; 23’700 € 
12018;Azuébar;320;0; 24’500 € 
12020;Barracas;180;918.9; 25’800 € 
12021;Betxí;5’610;144.2; 31’100 € 
12022;Bejís;390;0; 24’850 € 
12024;Benafer;170;0; 22’350 € 
12025;Benafigos;150;0; 22’650 € 
12026;Benasal;1’060;0; 27’450 € 
12027;Benicarló;27’660;426; 27’350 € 
12028;Benicasim/Benicàssim;18’990;294.5; 40’400 € 
12029;Benlloch;1’080;204.7; 27’850 € 
12031;Borriol;5’550;107.2; 35’000 € 
12032;Borriana/Burriana;34’890;262.6; 28’850 € 
12033;Cabanes;3’030;305.6; 25’250 € 
12034;Càlig;2’000;149.9; 25’650 € 
12036;Canet lo Roig;690;0; 24’500 € 
12038;Castellfort;180;0; 26’300 € 
12039;Castellnovo;910;0; 28’300 € 
12040;Castellón de la Plana/Castelló de la Plana;172’590;433.2; 31’950 € 
12041;Castillo de Villamalefa;100;0; 25’050 € 
12042;Catí;710;0; 29’950 € 
12043;Caudiel;660;0; 23’250 € 
12044;Cervera del Maestre;580;156; 21’700 € 
12045;Cinctorres;400;297; 27’750 € 
12046;Cirat;210;0; 24’550 € 
12048;Cortes de Arenoso;290;0; 21’350 € 
12049;Costur;530;0; 29’100 € 
12050;Coves de Vinromà, les;1’790;223.2; 27’500 € 
12051;Culla;510;0; 22’950 € 
12052;Xert;690;0; 27’300 € 
12053;Chilches/Xilxes;2’790;275.5; 27’300 € 
12055;Chodos/Xodos;110;0; 29’100 € 
12056;Chóvar;300;0; 23’150 € 
12057;Eslida;750;0; 25’050 € 
12058;Espadilla;80;0; 25’250 € 
12059;Fanzara;270;0; 27’800 € 
12060;Figueroles;530;0; 29’350 € 
12061;Forcall;450;0; 32’550 € 
12063;Fuente la Reina;50;0; 25’250 € 
12064;Fuentes de Ayódar;90;0; 25’250 € 
12065;Gaibiel;190;0; 21’900 € 
12067;Geldo;630;0; 25’650 € 
12068;Herbés;50;0; 25’250 € 
12069;Higueras;50;0; 25’250 € 
12070;Jana, la;660;0; 23’350 € 
12071;Jérica;1’650;212.1; 26’650 € 
12072;Lucena del Cid;1’310;229.4; 29’000 € 
12073;Ludiente;150;0; 20’700 € 
12074;Llosa, la;980;101.7; 25’950 € 
12075;Mata de Morella, la;170;0; 27’950 € 
12076;Matet;70;0; 25’250 € 
12077;Moncofa;6’960;293.6; 25’500 € 
12078;Montán;360;0; 22’050 € 
12079;Montanejos;540;579; 23’100 € 
12080;Morella;2’410;257.7; 31’700 € 
12081;Navajas;750;93.3; 26’800 € 
12082;Nules;13’260;316.5; 28’650 € 
12083;Olocau del Rey;120;0; 33’700 € 
12084;Onda;24’940;348.1; 30’200 € 
12085;Oropesa del Mar/Orpesa;9’760;619.3; 24’250 € 
12087;Palanques;40;0; 25’250 € 
12088;Pavías;70;0; 25’250 € 
12089;Peníscola/Peñíscola;7’880;600.5; 24’950 € 
12090;Pina de Montalgrao;110;0; 27’000 € 
12091;Portell de Morella;180;0; 26’300 € 
12092;Puebla de Arenoso;160;0; 22’900 € 
12093;Pobla de Benifassà, la;210;0; 23’500 € 
12094;Pobla Tornesa, la;1’240;0; 33’800 € 
12095;Ribesalbes;1’160;259.5; 31’050 € 
12096;Rossell;900;243.4; 23’100 € 
12097;Sacañet;60;0; 25’250 € 
12098;Salzadella, la;680;0; 25’800 € 
12099;Sant Jordi/San Jorge;1’060;0; 24’000 € 
12100;Sant Mateu;1’970;558.9; 28’500 € 
12101;San Rafael del Río;470;0; 24’450 € 
12102;Santa Magdalena de Pulpis;760;0; 22’850 € 
12103;Serratella, la;90;0; 25’250 € 
12104;Segorbe;9’140;278.8; 28’000 € 
12105;Sierra Engarcerán;990;0; 27’100 € 
12106;Soneja;1’480;202.8; 28’300 € 
12107;Sot de Ferrer;430;280.4; 27’500 € 
12108;Sueras/Suera;550;0; 26’650 € 
12109;Tales;840;0; 27’650 € 
12110;Teresa;250;0; 22’950 € 
12111;Tírig;420;0; 22’900 € 
12112;Todolella;150;0; 31’800 € 
12113;Toga;100;0; 23’850 € 
12114;Torás;250;607.3; 25’450 € 
12115;Toro, El;240;0; 19’950 € 
12116;Torralba del Pinar;60;0; 25’250 € 
12117;Torreblanca;5’610;554.8; 24’550 € 
12118;Torrechiva;90;0; 25’250 € 
12119;Torre d'En Besora, la;170;0; 27’650 € 
12120;Torre d'en Doménec, la;160;0; 26’650 € 
12121;Traiguera;1’360;588.4; 24’700 € 
12122;Useras/Useres, les;970;0; 25’050 € 
12123;Vallat;60;0; 25’250 € 
12124;Vall d'Alba;2’940;145.8; 28’200 € 
12125;Vall de Almonacid;290;0; 23’150 € 
12126;Vall d'Uixó, la;31’550;437; 28’500 € 
12127;Vallibona;70;0; 25’250 € 
12128;Vilafamés;1’840;152.2; 29’900 € 
12129;Villafranca del Cid/Vilafranca;2’200;366.2; 28’950 € 
12130;Villahermosa del Río;480;0; 26’550 € 
12131;Villamalur;90;0; 25’250 € 
12132;Vilanova d'Alcolea;580;0; 28’900 € 
12133;Villanueva de Viver;80;0; 25’250 € 
12134;Vilar de Canes;170;0; 21’500 € 
12135;Vila-real;51’130;405.8; 31’700 € 
12136;Vilavella, la;3’110;738; 26’350 € 
12137;Villores;50;0; 25’250 € 
12138;Vinaròs;28’860;725.7; 27’750 € 
12139;Vistabella del Maestrat;340;0; 23’850 € 
12140;Viver;1’660;180.6; 24’600 € 
12141;Zorita del Maestrazgo;120;0; 25’300 € 
12142;Zucaina;170;0; 21’900 € 
12901;Alquerías del Niño Perdido;4’540;83.7; 33’450 € 
12902;Sant Joan de Moró;3’310;120.7; 28’600 € 
13001;Abenójar;1’340;106; 23’250 € 
13002;Agudo;1’640;192.3; 17’100 € 
13003;Alamillo;470;127.7; 21’300 € 
13004;Albaladejo;1’100;272.1; 18’150 € 
13005;Alcázar de San Juan;30’550;492.3; 30’550 € 
13006;Alcoba;540;370.4; 23’750 € 
13007;Alcolea de Calatrava;1’360;0; 24’650 € 
13008;Alcubillas;470;0; 19’400 € 
13009;Aldea del Rey;1’600;215.9; 22’900 € 
13010;Alhambra;990;0; 21’200 € 
13011;Almadén;5’110;45.1; 23’350 € 
13012;Almadenejos;400;0; 21’150 € 
13013;Almagro;8’900;285.5; 26’350 € 
13014;Almedina;500;161; 18’800 € 
13015;Almodóvar del Campo;5’950;286.5; 28’100 € 
13016;Almuradiel;750;266.7; 23’850 € 
13017;Anchuras;270;0; 20’900 € 
13018;Arenas de San Juan;1’030;135.5; 20’000 € 
13019;Argamasilla de Alba;6’840;252.5; 23’550 € 
13020;Argamasilla de Calatrava;5’850;239.4; 26’850 € 
13021;Arroba de los Montes;410;367.6; 21’950 € 
13022;Ballesteros de Calatrava;370;0; 21’950 € 
13023;Bolaños de Calatrava;11’990;343.9; 25’600 € 
13024;Brazatortas;1’000;59.9; 22’200 € 
13025;Cabezarados;310;0; 25’400 € 
13026;Cabezarrubias del Puerto;460;0; 24’850 € 
13027;Calzada de Calatrava;3’610;330.6; 21’700 € 
13028;Campo de Criptana;13’230;221.5; 26’150 € 
13029;Cañada de Calatrava;100;0; 27’500 € 
13030;Caracuel de Calatrava;120;0; 23’300 € 
13031;Carrión de Calatrava;3’090;182.1; 27’050 € 
13032;Carrizosa;1’170;0; 17’650 € 
13033;Castellar de Santiago;1’830;211.1; 20’000 € 
13034;Ciudad Real;75’100;431.4; 34’050 € 
13035;Corral de Calatrava;1’100;0; 24’750 € 
13036;Cortijos, Los;880;0; 22’650 € 
13037;Cózar;920;1308.8; 19’450 € 
13038;Chillón;1’780;767.6; 22’050 € 
13039;Daimiel;17’770;485.7; 26’150 € 
13040;Fernán Caballero;980;204.3; 22’950 € 
13041;Fontanarejo;250;0; 18’800 € 
13042;Fuencaliente;1’020;147.3; 19’300 € 
13043;Fuenllana;210;0; 23’950 € 
13044;Fuente el Fresno;3’140;278.9; 23’200 € 
13045;Granátula de Calatrava;720;0; 22’650 € 
13046;Guadalmez;720;144.8; 20’400 € 
13047;Herencia;8’510;167.6; 23’900 € 
13048;Hinojosas de Calatrava;500;0; 21’400 € 
13049;Horcajo de los Montes;830;405.6; 20’550 € 
13050;Labores, Las;560;0; 21’200 € 
13051;Luciana;370;0; 22’100 € 
13052;Malagón;7’840;386.4; 22’500 € 
13053;Manzanares;17’850;439.8; 28’900 € 
13054;Membrilla;5’930;170.6; 28’700 € 
13055;Mestanza;660;0; 19’900 € 
13056;Miguelturra;15’660;268.9; 29’350 € 
13057;Montiel;1’260;111.5; 20’950 € 
13058;Moral de Calatrava;5’210;242.4; 21’300 € 
13059;Navalpino;210;0; 19’900 € 
13060;Navas de Estena;290;0; 21’350 € 
13061;Pedro Muñoz;7’330;246.4; 22’650 € 
13062;Picón;660;0; 26’500 € 
13063;Piedrabuena;4’390;251; 22’800 € 
13064;Poblete;2’760;0; 29’550 € 
13065;Porzuna;3’500;642.6; 21’550 € 
13066;Pozuelo de Calatrava;3’620;226.3; 24’000 € 
13067;Pozuelos de Calatrava, Los;350;0; 22’000 € 
13068;Puebla de Don Rodrigo;1’140;87.6; 22’950 € 
13069;Puebla del Príncipe;690;232.9; 18’750 € 
13070;Puerto Lápice;890;67.4; 24’500 € 
13071;Puertollano;46’040;517.5; 27’950 € 
13072;Retuerta del Bullaque;930;322.6; 21’900 € 
13073;Saceruela;540;351.9; 20’150 € 
13074;San Carlos del Valle;1’090;0; 22’150 € 
13075;San Lorenzo de Calatrava;210;0; 24’200 € 
13076;Santa Cruz de los Cáñamos;510;155.3; 17’550 € 
13077;Santa Cruz de Mudela;4’020;287; 22’000 € 
13078;Socuéllamos;12’070;394.4; 24’100 € 
13079;Solana, La;15’360;322.6; 25’550 € 
13080;Solana del Pino;320;0; 19’450 € 
13081;Terrinches;630;134.3; 16’750 € 
13082;Tomelloso;35’980;499.1; 24’900 € 
13083;Torralba de Calatrava;2’990;142.1; 23’350 € 
13084;Torre de Juan Abad;990;197; 19’900 € 
13085;Torrenueva;2’710;247.4; 20’900 € 
13086;Valdemanco del Esteras;160;0; 18’050 € 
13087;Valdepeñas;30’220;492.8; 27’350 € 
13088;Valenzuela de Calatrava;660;83.6; 22’500 € 
13089;Villahermosa;1’770;0; 21’400 € 
13090;Villamanrique;1’110;422.8; 19’350 € 
13091;Villamayor de Calatrava;610;0; 27’050 € 
13092;Villanueva de la Fuente;1’990;299.2; 20’350 € 
13093;Villanueva de los Infantes;4’850;377.8; 24’450 € 
13094;Villanueva de San Carlos;280;0; 27’700 € 
13096;Villarrubia de los Ojos;9’720;395.2; 22’350 € 
13097;Villarta de San Juan;2’720;298.9; 23’600 € 
13098;Viso del Marqués;2’220;117.8; 22’250 € 
13901;Robledo, El;1’060;350.7; 22’950 € 
13902;Ruidera;560;0; 20’050 € 
13903;Arenales de San Gregorio;570;0; 20’200 € 
13904;Llanos del Caudillo;700;142.9; 28’350 € 
14001;Adamuz;4’140;89.4; 22’050 € 
14002;Aguilar de la Frontera;13’400;224.6; 22’000 € 
14003;Alcaracejos;1’480;178.9; 23’050 € 
14004;Almedinilla;2’350;80.8; 20’650 € 
14005;Almodóvar del Río;8’040;97.2; 22’050 € 
14006;Añora;1’530;98.3; 26’350 € 
14007;Baena;18’880;587.5; 21’500 € 
14008;Belalcázar;3’210;184.6; 21’200 € 
14009;Belmez;2’910;200.7; 25’050 € 
14010;Benamejí;4’980;125.9; 20’000 € 
14011;Blázquez, Los;660;379.4; 18’200 € 
14012;Bujalance;7’320;142.8; 21’600 € 
14013;Cabra;20’250;403.6; 25’450 € 
14014;Cañete de las Torres;2’890;262.8; 21’800 € 
14015;Carcabuey;2’370;89.3; 21’650 € 
14016;Cardeña;1’470;122.2; 20’600 € 
14017;Carlota, La;14’230;323.7; 23’600 € 
14018;Carpio, El;4’380;227.3; 25’450 € 
14019;Castro del Río;7’740;470.3; 24’050 € 
14020;Conquista;370;215.1; 23’650 € 
14021;Córdoba;322’080;395.9; 30’900 € 
14022;Doña Mencía;4’600;221.6; 23’450 € 
14023;Dos Torres;2’400;33.3; 21’250 € 
14024;Encinas Reales;2’260;172.9; 20’150 € 
14025;Espejo;3’270;139.1; 23’900 € 
14026;Espiel;2’430;148.4; 26’350 € 
14027;Fernán-Núñez;9’670;483.5; 26’400 € 
14028;Fuente la Lancha;340;0; 17’750 € 
14029;Fuente Obejuna;4’500;140.3; 21’600 € 
14030;Fuente Palmera;10’930;537.1; 22’100 € 
14031;Fuente-Tójar;680;110.7; 20’700 € 
14032;Granjuela, La;430;0; 22’550 € 
14033;Guadalcázar;1’560;57.6; 23’300 € 
14034;Guijo, El;350;0; 24’150 € 
14035;Hinojosa del Duque;6’680;334.8; 22’850 € 
14036;Hornachuelos;4’510;541.8; 22’350 € 
14037;Iznájar;4’110;66.9; 19’400 € 
14038;Lucena;42’710;447.1; 24’300 € 
14039;Luque;2’950;349.7; 20’800 € 
14040;Montalbán de Córdoba;4’520;254.6; 23’450 € 
14041;Montemayor;3’850;161; 24’000 € 
14042;Montilla;22’630;463.7; 25’800 € 
14043;Montoro;9’230;318.6; 23’700 € 
14044;Monturque;1’950;140.1; 21’750 € 
14045;Moriles;3’720;376.3; 21’200 € 
14046;Nueva Carteya;5’340;414.5; 20’150 € 
14047;Obejo;2’020;223.7; 24’850 € 
14048;Palenciana;1’460;196.2; 22’250 € 
14049;Palma del Río;20’910;257.4; 23’900 € 
14050;Pedro Abad;2’810;253.6; 23’100 € 
14051;Pedroche;1’490;87.2; 21’450 € 
14052;Peñarroya-Pueblonuevo;10’510;395.3; 27’100 € 
14053;Posadas;7’300;266; 23’000 € 
14054;Pozoblanco;17’160;577.2; 28’400 € 
14055;Priego de Córdoba;22’250;178; 21’700 € 
14056;Puente Genil;29’770;402.7; 24’600 € 
14057;Rambla, La;7’510;594.3; 24’150 € 
14058;Rute;9’830;185.5; 21’600 € 
14059;San Sebastián de los Ballesteros;830;0; 27’050 € 
14060;Santaella;5’980;80.8; 22’750 € 
14061;Santa Eufemia;750;0; 19’700 € 
14062;Torrecampo;1’020;0; 22’750 € 
14063;Valenzuela;1’100;82; 19’150 € 
14064;Valsequillo;350;0; 20’200 € 
14065;Victoria, La;2’340;59.9; 24’400 € 
14066;Villa del Río;7’020;479.2; 23’400 € 
14067;Villafranca de Córdoba;4’900;307.7; 24’800 € 
14068;Villaharta;640;140.6; 23’550 € 
14069;Villanueva de Córdoba;8’660;253.1; 22’100 € 
14070;Villanueva del Duque;1’450;151.6; 22’300 € 
14071;Villanueva del Rey;1’000;180.5; 20’050 € 
14072;Villaralto;1’100;75.3; 19’950 € 
14073;Villaviciosa de Córdoba;3’190;216.7; 19’200 € 
14074;Viso, El;2’540;288.1; 22’150 € 
14075;Zuheros;630;142; 22’550 € 
15001;Abegondo;5’490;127.4; 31’600 € 
15002;Ames;32’060;265.3; 32’000 € 
15003;Aranga;1’830;0; 28’600 € 
15004;Ares;6’000;370.9; 29’300 € 
15005;Arteixo;32’860;313; 29’500 € 
15006;Arzúa;5’960;316.9; 27’300 € 
15007;Baña, A;3’390;132.8; 29’400 € 
15008;Bergondo;6’820;66; 36’500 € 
15009;Betanzos;13’030;600.7; 28’450 € 
15010;Boimorto;1’940;97.8; 26’550 € 
15011;Boiro;18’960;420.4; 30’350 € 
15012;Boqueixón;4’190;88.4; 34’450 € 
15013;Brión;7’960;255.1; 33’450 € 
15014;Cabana de Bergantiños;4’180;0; 29’300 € 
15015;Cabanas;3’360;446.6; 33’400 € 
15016;Camariñas;5’270;379.8; 23’150 € 
15017;Cambre;24’580;230.5; 32’050 € 
15018;Capela, A;1’240;72.5; 33’750 € 
15019;Carballo;31’410;367.9; 28’100 € 
15020;Carnota;3’850;193.3; 24’850 € 
15021;Carral;6’580;253; 29’800 € 
15022;Cedeira;6’650;288; 25’500 € 
15023;Cee;7’560;1030.2; 27’000 € 
15024;Cerceda;5’000;298.6; 33’500 € 
15025;Cerdido;1’080;0; 23’600 € 
15027;Coirós;1’880;0; 33’100 € 
15028;Corcubión;1’620;0; 26’800 € 
15029;Coristanco;5’880;1222.2; 27’300 € 
15030;Coruña, A;243’810;439.1; 34’050 € 
15031;Culleredo;32’460;377.2; 32’350 € 
15032;Curtis;4’080;743.9; 28’200 € 
15033;Dodro;2’710;25.8; 29’000 € 
15034;Dumbría;2’930;34.2; 29’850 € 
15035;Fene;12’830;484.6; 30’100 € 
15036;Ferrol;64’780;636.2; 28’500 € 
15037;Fisterra;4’710;212.6; 23’450 € 
15038;Frades;2’310;133.6; 31’150 € 
15039;Irixoa;1’340;74.6; 27’150 € 
15040;Laxe;3’000;238.2; 24’400 € 
15041;Laracha, A;11’520;244.1; 28’900 € 
15042;Lousame;3’240;0; 30’800 € 
15043;Malpica de Bergantiños;5’330;128.5; 24’900 € 
15044;Mañón;1’310;152.8; 25’450 € 
15045;Mazaricos;3’810;100.6; 28’850 € 
15046;Melide;7’430;762.5; 24’950 € 
15047;Mesía;2’480;121; 29’500 € 
15048;Miño;6’420;292.1; 29’450 € 
15049;Moeche;1’200;0; 25’350 € 
15050;Monfero;1’910;104.8; 29’150 € 
15051;Mugardos;5’230;141.6; 28’900 € 
15052;Muxía;4’560;140.2; 25’050 € 
15053;Muros;8’390;259.9; 26’600 € 
15054;Narón;38’910;352.1; 28’300 € 
15055;Neda;5’030;169; 29’100 € 
15056;Negreira;6’780;379.6; 26’850 € 
15057;Noia;14’240;434; 28’550 € 
15058;Oleiros;36’940;592.6; 43’250 € 
15059;Ordes;12’610;251.3; 29’600 € 
15060;Oroso;7’530;229.9; 29’800 € 
15061;Ortigueira;5’480;339.3; 23’800 € 
15062;Outes;6’130;320.6; 27’100 € 
15064;Paderne;2’390;91.9; 31’300 € 
15065;Padrón;8’320;379.7; 29’750 € 
15066;Pino, O;4’640;241.4; 29’650 € 
15067;Pobra do Caramiñal, A;9’290;468.1; 30’600 € 
15068;Ponteceso;5’460;225.9; 27’000 € 
15069;Pontedeume;7’690;356.6; 30’900 € 
15070;Pontes de García Rodríguez, As;10’030;549.3; 37’300 € 
15071;Porto do Son;9’140;216.7; 27’850 € 
15072;Rianxo;11’000;389.9; 30’000 € 
15073;Ribeira;26’830;478.9; 29’000 € 
15074;Rois;4’490;0; 31’650 € 
15075;Sada;16’330;252.8; 31’000 € 
15076;San Sadurniño;2’810;71.1; 28’150 € 
15077;Santa Comba;9’360;327.3; 30’400 € 
15078;Santiago de Compostela;97’790;439.1; 36’050 € 
15079;Santiso;1’530;0; 25’150 € 
15080;Sobrado;1’780;264.9; 26’300 € 
15081;Somozas, As;1’080;185.9; 26’650 € 
15082;Teo;18’780;355.4; 36’200 € 
15083;Toques;1’100;0; 27’250 € 
15084;Tordoia;3’230;46.5; 31’200 € 
15085;Touro;3’500;131.6; 29’050 € 
15086;Trazo;3’060;58.8; 32’300 € 
15087;Valdoviño;6’880;283; 29’550 € 
15088;Val do Dubra;3’820;387.3; 29’550 € 
15089;Vedra;5’030;291.7; 35’500 € 
15090;Vilasantar;1’220;49.3; 26’900 € 
15091;Vilarmaior;1’220;0; 31’650 € 
15092;Vimianzo;6’880;338.5; 28’250 € 
15093;Zas;4’380;600.6; 30’100 € 
15901;Cariño;3’760;192.1; 22’850 € 
15902;Oza-Cesuras;5’170;34.8; 28’750 € 
16001;Abia de la Obispalía;60;0; 21’600 € 
16002;Acebrón, El;230;0; 25’850 € 
16003;Alarcón;150;0; 22’850 € 
16004;Albaladejo del Cuende;240;0; 20’200 € 
16005;Albalate de las Nogueras;260;0; 22’300 € 
16006;Albendea;120;0; 24’050 € 
16007;Alberca de Záncara, La;1’580;221.4; 24’750 € 
16008;Alcalá de la Vega;80;0; 21’600 € 
16009;Alcantud;50;0; 21’600 € 
16010;Alcázar del Rey;130;0; 27’050 € 
16011;Alcohujate;30;0; 21’600 € 
16012;Alconchel de la Estrella;90;0; 21’600 € 
16013;Algarra;20;0; 21’600 € 
16014;Aliaguilla;640;166.1; 19’800 € 
16015;Almarcha, La;410;0; 22’850 € 
16016;Almendros;230;0; 25’950 € 
16017;Almodóvar del Pinar;380;0; 22’250 € 
16018;Almonacid del Marquesado;440;0; 28’000 € 
16019;Altarejos;200;0; 24’450 € 
16020;Arandilla del Arroyo;10;0; 21’600 € 
16022;Arcos de la Sierra;70;0; 21’600 € 
16023;Chillarón de Cuenca;700;0; 27’700 € 
16024;Arguisuelas;130;0; 20’200 € 
16025;Arrancacepas;20;0; 21’600 € 
16026;Atalaya del Cañavate;100;0; 19’900 € 
16027;Barajas de Melo;1’000;0; 25’100 € 
16029;Barchín del Hoyo;90;0; 21’600 € 
16030;Bascuñana de San Pedro;20;0; 21’600 € 
16031;Beamud;40;0; 21’600 € 
16032;Belinchón;370;0; 26’300 € 
16033;Belmonte;1’810;611; 24’550 € 
16034;Belmontejo;140;0; 24’800 € 
16035;Beteta;230;0; 25’600 € 
16036;Boniches;140;0; 19’450 € 
16038;Buciegas;30;0; 21’600 € 
16039;Buenache de Alarcón;450;0; 20’900 € 
16040;Buenache de la Sierra;100;0; 24’300 € 
16041;Buendía;410;292.7; 23’300 € 
16042;Campillo de Altobuey;1’250;388.4; 21’900 € 
16043;Campillos-Paravientos;100;0; 20’000 € 
16044;Campillos-Sierra;30;0; 21’600 € 
16045;Canalejas del Arroyo;170;0; 19’150 € 
16046;Cañada del Hoyo;220;0; 24’850 € 
16047;Cañada Juncosa;240;0; 26’000 € 
16048;Cañamares;460;544.7; 28’550 € 
16049;Cañavate, El;140;0; 20’350 € 
16050;Cañaveras;240;0; 23’350 € 
16051;Cañaveruelas;130;0; 20’950 € 
16052;Cañete;770;776.8; 22’250 € 
16053;Cañizares;430;0; 27’350 € 
16055;Carboneras de Guadazaón;780;456.3; 24’650 € 
16056;Cardenete;490;327.9; 20’200 € 
16057;Carrascosa;70;0; 21’600 € 
16058;Carrascosa de Haro;100;0; 20’650 € 
16060;Casas de Benítez;810;110.5; 21’000 € 
16061;Casas de Fernando Alonso;1’150;261.6; 21’850 € 
16062;Casas de Garcimolina;30;0; 21’600 € 
16063;Casas de Guijarro;120;0; 20’300 € 
16064;Casas de Haro;830;188; 22’650 € 
16065;Casas de los Pinos;420;0; 26’100 € 
16066;Casasimarro;3’090;275.2; 23’550 € 
16067;Castejón;120;0; 22’950 € 
16068;Castillejo de Iniesta;130;852.7; 27’800 € 
16070;Castillejo-Sierra;30;0; 21’600 € 
16072;Castillo de Garcimuñoz;130;0; 22’500 € 
16073;Cervera del Llano;220;0; 23’200 € 
16074;Cierva, La;30;0; 21’600 € 
16078;Cuenca;53’990;495.8; 32’400 € 
16079;Cueva del Hierro;40;0; 21’600 € 
16081;Chumillas;60;0; 21’600 € 
16082;Enguídanos;300;0; 16’900 € 
16083;Fresneda de Altarejos;40;0; 21’600 € 
16084;Fresneda de la Sierra;50;0; 21’600 € 
16085;Frontera, La;140;0; 18’400 € 
16086;Fuente de Pedro Naharro;1’210;0; 26’850 € 
16087;Fuentelespino de Haro;250;304.9; 22’900 € 
16088;Fuentelespino de Moya;100;0; 21’500 € 
16089;Fuentes;470;0; 26’850 € 
16091;Fuertescusa;60;0; 21’600 € 
16092;Gabaldón;170;0; 23’750 € 
16093;Garaballa;60;0; 21’600 € 
16094;Gascueña;150;0; 19’750 € 
16095;Graja de Campalbo;90;0; 21’600 € 
16096;Graja de Iniesta;350;0; 23’850 € 
16097;Henarejos;140;0; 21’000 € 
16098;Herrumblar, El;690;0; 20’750 € 
16099;Hinojosa, La;190;0; 22’150 € 
16100;Hinojosos, Los;770;0; 18’800 € 
16101;Hito, El;160;0; 22’050 € 
16102;Honrubia;1’510;242.2; 24’300 € 
16103;Hontanaya;250;0; 27’150 € 
16104;Hontecillas;60;0; 21’600 € 
16106;Horcajo de Santiago;3’550;399.7; 24’100 € 
16107;Huélamo;80;0; 21’600 € 
16108;Huelves;80;0; 21’600 € 
16109;Huérguina;50;0; 21’600 € 
16110;Huerta de la Obispalía;130;0; 48’900 € 
16111;Huerta del Marquesado;190;0; 25’000 € 
16112;Huete;1’750;40.1; 24’500 € 
16113;Iniesta;4’360;411.7; 24’900 € 
16115;Laguna del Marquesado;50;0; 21’600 € 
16117;Landete;1’210;474.8; 23’100 € 
